Age,M,F
18,256303,236466
19,261084,232624
20,270350,229743
21,284745,228773
22,304053,229233
23,328127,230687
24,357255,233777
25,389291,238768
26,415279,243877
27,438842,250031
28,464125,257982
29,487437,266024
30,505560,272123
31,521121,275595
32,532372,276286
33,537483,274352
34,537736,270385
35,534361,264968
36,527982,258447
37,518414,250784
38,505346,241811
39,488887,231569
40,469563,220600
41,448150,210014
42,424507,199529
43,398546,188769
44,371092,177997
45,343892,167380
46,319543,156792
47,297419,146306
48,276726,136175
49,258224,126788
50,242089,118508
51,226601,111393
52,211752,105179
53,196890,99135
54,183986,94043
55,173333,89981
56,162761,85809
57,151958,81482
58,140672,77028
59,129273,72621
60,118237,68380
61,107752,64191
62,97861,60123
63,88510,56212
64,79524,52279
65,70767,48182
66,62337,43993
67,54184,39674
68,46434,35306
69,39594,31244
70,34071,27799
71,29704,25014
72,26610,22913
73,24724,21409
74,23445,20198
75,22157,18992
76,20608,17698
77,18787,16300
78,16784,14825
79,14767,13351
80,12895,11953
81,11230,10654
82,9777,9461
83,8518,8368
84,7415,7363
85,4432,5448
86,4174,5023
87,3953,4593
88,3131,3826
89,2426,3142
90,1841,2543
91,1369,2025
92,1002,1591
93,721,1227
94,510,930
95,351,690
96,234,500
97,153,357
98,99,251
99,64,172
100+,72,268
